sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,estado
35012.0,35012.0,0.0,401061.32,24.767219,-107.69676,12.0,1,0,0,1,0,0,0,1,0,0,0,11.45,Sinaloa
1302.0,1302.0,0.0,108818.4,31.808944,-116.595134,18.0,0,0,1,1,0,0,0,0,0,1,7,83.58,Baja California
30597.34,30597.34,0.0,361643.68,25.783417,-108.994343,9.0,1,0,0,1,0,0,0,1,0,0,0,11.82,Sinaloa
30816.0,30816.0,0.0,364810.83,24.808808,-107.393756,57.0,1,0,0,1,0,0,0,1,0,0,0,11.84,Sinaloa
2331.0,2331.0,0.0,232416.02,24.808808,-107.393756,57.0,1,0,0,1,0,0,0,0,0,1,7,99.71,Sinaloa
31671.0,31671.0,0.0,362164.21,25.36436,-108.159489,25.0,1,0,0,1,0,0,0,1,0,0,0,11.44,Sinaloa
28324.64,28254.64,70.0,352335.36,25.565547,-108.471818,21.0,1,0,0,1,0,0,0,1,0,0,0,12.47,Sinaloa
29862.29,29802.29,60.0,306665.56,25.565547,-108.471818,21.0,1,0,0,1,0,0,0,1,0,0,0,10.29,Sinaloa
2257.0,2257.0,0.0,237695.13,24.767219,-107.69676,12.0,1,0,0,1,0,0,0,0,0,1,7,105.31,Sinaloa
28465.0,28465.0,0.0,311949.6,24.808808,-107.393756,57.0,1,0,0,1,0,0,0,1,0,0,0,10.96,Sinaloa
32070.0,32070.0,0.0,272999.0,20.8175,-102.757222,1785.0,0,0,1,0,1,0,0,1,0,0,0,8.51,Jalisco
24684.0,24684.0,0.0,264118.8,24.767219,-107.69676,12.0,1,0,0,1,0,0,0,1,0,0,0,10.7,Sinaloa
27540.0,27540.0,0.0,281820.0,28.406312,-106.866044,2062.0,0,0,1,1,0,0,0,1,0,0,0,10.23,Chihuahua
106568.0,106418.0,150.0,70413.61,23.631378,-103.641342,2292.0,0,0,1,0,1,0,1,0,0,0,0,0.66,Zacatecas
19520.0,19520.0,0.0,234240.0,25.565547,-108.471818,21.0,1,0,0,1,0,0,0,1,0,0,7,12.0,Sinaloa
18930.0,18930.0,0.0,230946.0,25.783417,-108.994343,9.0,1,0,0,1,0,0,0,1,0,0,7,12.2,Sinaloa
20375.21,20375.21,0.0,234171.41,23.915404,-106.89271200000002,19.0,1,0,0,1,0,0,0,1,0,0,7,11.49,Sinaloa
19422.0,19422.0,0.0,203348.34,24.808808,-107.393756,57.0,1,0,0,1,0,0,0,1,0,0,7,10.47,Sinaloa
621.0,621.0,0.0,52405.0,31.808944,-116.595134,18.0,1,0,0,1,0,0,0,0,0,1,7,84.39,Baja California
16517.8,16517.8,0.0,201562.13,25.783417,-108.994343,9.0,1,0,0,1,0,0,0,1,0,0,7,12.2,Sinaloa
20846.0,20846.0,0.0,184306.16,20.290278,-102.541944,1529.0,0,0,1,0,1,0,0,1,0,0,2,8.84,Jalisco
1239.0,1239.0,0.0,58886.0,23.174895000000003,-102.868229,2180.0,0,0,1,1,0,0,0,0,0,1,4,47.53,Zacatecas
16553.95,16553.95,0.0,181929.85,25.565547,-108.471818,21.0,1,0,0,1,0,0,0,1,0,0,7,10.99,Sinaloa
47615.25,47615.25,0.0,1255525.13,15.441134,-92.891606,43.0,0,1,0,0,1,0,0,0,1,0,0,26.37,Chiapas
335.0,335.0,0.0,45710.0,22.617911,-100.399572,1651.0,0,0,1,1,0,0,0,0,0,1,4,136.45,San Luis Potosí
15655.87,15655.87,0.0,180681.32,25.36436,-108.159489,25.0,1,0,0,1,0,0,0,1,0,0,7,11.54,Sinaloa
16318.0,16318.0,0.0,174584.0,20.03538,-100.719326,1880.0,0,0,1,1,0,0,0,1,0,0,2,10.7,Guanajuato
71545.0,71294.0,251.0,46225.37,23.827434,-103.034332,1857.0,0,0,1,0,1,0,1,0,0,0,0,0.65,Zacatecas
38193.0,38193.0,0.0,1308492.18,20.318333,-105.323889,600.0,0,1,0,0,1,0,0,0,1,0,0,34.26,Jalisco
35642.0,35642.0,0.0,1218599.98,19.485,-104.643333,280.0,0,1,0,0,1,0,0,0,1,0,0,34.19,Jalisco
42558.0,42558.0,0.0,1220989.02,20.613611,-105.227222,101.0,0,1,0,0,1,0,0,0,1,0,0,28.69,Jalisco
289.5,289.5,0.0,52215.3,23.374425,-100.757897,1637.0,0,0,1,1,0,0,0,0,0,1,4,180.36,San Luis Potosí
36238.0,36238.0,0.0,1132075.12,19.449722,-104.356944,589.0,0,1,0,0,1,0,0,0,1,0,0,31.24,Jalisco
11880.19,11880.19,0.0,23760.38,25.565547,-108.471818,21.0,1,0,0,1,0,0,1,0,0,0,7,2.0,Sinaloa
15713.0,15713.0,0.0,141120.7,20.431795,-101.725044,1770.0,0,0,1,1,0,0,0,1,0,0,2,8.98,Guanajuato
39180.0,39180.0,0.0,1580913.0,18.081165,-96.118482,21.0,0,1,0,0,1,0,0,0,1,0,0,40.35,Oaxaca
51150.0,51150.0,0.0,734480.46,22.004147,-98.775161,23.0,0,1,0,0,1,0,0,0,1,0,0,14.36,San Luis Potosí
32020.0,32020.0,0.0,1097965.8,19.941389,-105.245278,36.0,0,1,0,0,1,0,0,0,1,0,0,34.29,Jalisco
14896.0,14896.0,0.0,148857.8,29.25076,-107.408872,1842.0,0,0,1,1,0,0,0,1,0,0,7,9.99,Chihuahua
14935.0,14935.0,0.0,124662.0,20.6225,-103.064167,1530.0,0,0,1,0,1,0,0,1,0,0,2,8.35,Jalisco
14050.0,14050.0,0.0,122640.0,20.6075,-102.22,2108.0,0,0,1,0,1,0,0,1,0,0,2,8.73,Jalisco
34097.5,34097.5,0.0,1369014.63,17.031124,-95.446467,541.0,0,1,0,0,1,0,0,0,1,0,0,40.15,Oaxaca
49532.0,49532.0,0.0,36117.18,24.294446,-103.451449,1963.0,0,0,1,0,1,0,1,0,0,0,0,0.73,Zacatecas
11543.19,11543.19,0.0,117688.31,25.822372,-108.222046,80.0,1,0,0,1,0,0,0,1,0,0,7,10.2,Sinaloa
15371.44,15371.44,0.0,117649.62,20.435,-103.928611,1305.0,0,0,1,0,1,0,0,1,0,0,2,7.65,Jalisco
